2024-11-08 17:18:47.855 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Name: {{buyerName2}}
2024-11-08 17:18:47.858 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>NRIC/Passport No.: {{nricPassport1}}
2024-11-08 17:18:47.862 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>NRIC/Passport No.: {{nricPassport1}}
2024-11-08 17:18:47.867 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>NRIC/Passport No.: {{nricPassport2}}
2024-11-08 17:18:47.870 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>NRIC/Passport No.: {{nricPassport2}}
2024-11-08 17:18:47.874 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Name: {{buyerName1}}
2024-11-08 17:18:47.876 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Name: {{buyerName1}}
2024-11-08 17:18:47.881 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Name: {{buyerName2}}
2024-11-08 17:18:47.885 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Name: {{buyerName2}}
2024-11-08 17:18:47.888 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>NRIC/Passport No.: {{nricPassport1}}
2024-11-08 17:18:47.890 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>NRIC/Passport No.: {{nricPassport1}}
2024-11-08 17:18:47.895 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>NRIC/Passport No.: {{nricPassport2}}
2024-11-08 17:18:47.899 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>NRIC/Passport No.: {{nricPassport2}}
2024-11-08 17:18:47.904 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Name: {{buyerName1}}
2024-11-08 17:18:47.908 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Name: {{buyerName1}}
2024-11-08 17:18:47.912 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Name: {{buyerName2}}
2024-11-08 17:18:47.916 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Name: {{buyerName2}}
2024-11-08 17:18:47.920 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>NRIC/Passport No.: {{nricPassport1}}
2024-11-08 17:18:47.923 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>NRIC/Passport No.: {{nricPassport1}}
2024-11-08 17:18:47.928 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>NRIC/Passport No.: {{nricPassport2}}
2024-11-08 17:18:47.932 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>NRIC/Passport No.: {{nricPassport2}}
2024-11-08 18:48:32.930 | INFO     | modules.Project:Make_Signature_Files:1986 - Make_Signature_Files ====>>>>>docPath='/tmp.docx' data={'signDate': '02/03/2024', 'buyerList': [{'num': '1', 'buyerName': 'xx1'}, {'num': '2', 'buyerName': 'xx2'}, {'num': '3', 'buyerName': 'xx3'}], 'img1': '/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/26835e67a63f48aeb31750a3e8385a17/PDIFloorPlanImg/6811f0fdc7a049c483ef1a876fdad3c9.jpg', 'img2': '/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/26835e67a63f48aeb31750a3e8385a17/PDIFloorPlanImg/94faddd9512148b797c09cf30ac44e1.jpg', 'unitName': '#01-01'}
2024-11-08 18:48:33.178 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Date:{{signDate}}
2024-11-08 18:48:33.182 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Date:{{signDate}}
2024-11-08 18:48:33.189 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>{{buyerList}}
2024-11-08 18:48:33.194 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>[ {{unitName}} ] BELGRAVIA DRIVE, BELGRAVIA ACE, Singapore (the “Property”)
2024-11-08 18:48:33.198 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>[ {{unitName}} ] BELGRAVIA DRIVE, BELGRAVIA ACE, Singapore (the “Property”)
2024-11-08 18:48:33.207 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Date : {{signDate}}
2024-11-08 18:48:33.210 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Date : {{signDate}}
2024-11-08 18:48:33.214 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Date :{{signDate}}
2024-11-08 18:48:33.216 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Date :{{signDate}}
2024-11-08 18:48:33.220 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====> [ {{unitName}} ] BELGRAVIA DRIVE, BELGRAVIA ACE
2024-11-08 18:48:33.224 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====> [ {{unitName}} ] BELGRAVIA DRIVE, BELGRAVIA ACE
2024-11-08 18:48:33.230 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>[ {{unitName}} ] BELGRAVIA DRIVE, BELGRAVIA ACE
2024-11-08 18:48:33.234 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>[ {{unitName}} ] BELGRAVIA DRIVE, BELGRAVIA ACE
2024-11-08 18:48:33.237 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Date:{{signDate}}
2024-11-08 18:48:33.241 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Date:{{signDate}}
2024-11-08 18:48:33.246 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>{{img1}}
2024-11-08 18:48:33.280 | ERROR    | modules.Project:text_to_word:1969 - 图片下载失败:/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/26835e67a63f48aeb31750a3e8385a17/PDIFloorPlanImg/6811f0fdc7a049c483ef1a876fdad3c9.jpg
2024-11-08 18:48:33.284 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>{{img2}}
2024-11-08 18:48:33.291 | ERROR    | modules.Project:text_to_word:1969 - 图片下载失败:/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/26835e67a63f48aeb31750a3e8385a17/PDIFloorPlanImg/94faddd9512148b797c09cf30ac44e1.jpg
2024-11-08 18:48:33.294 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Date:{{signDate}}
2024-11-08 18:48:33.296 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Date:{{signDate}}
2024-11-08 18:48:33.299 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>{{unitName}} BELGRAVIA DRIVE, BELGRAVIA ACE, SINGAPORE (the “Unit”)
2024-11-08 18:48:33.303 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>{{unitName}} BELGRAVIA DRIVE, BELGRAVIA ACE, SINGAPORE (the “Unit”)
2024-11-08 18:48:33.311 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====> {{unitName}} BELGRAVIA DRIVE, BELGRAVIA ACE, SINGAPORE (the “Unit”)
2024-11-08 18:48:33.315 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====> {{unitName}} BELGRAVIA DRIVE, BELGRAVIA ACE, SINGAPORE (the “Unit”)
2024-11-08 18:48:33.320 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Date:	{{signDate}}
2024-11-08 18:48:33.324 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Date:	{{signDate}}
2024-11-08 18:48:33.329 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>
{{Sign Buyer1}}
2024-11-08 18:48:33.332 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>
{{Sign Buyer1}}
2024-11-08 18:48:33.335 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Name: {{buyerName1}}
2024-11-08 18:48:33.339 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Name: {{buyerName1}}
2024-11-08 18:48:33.342 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Name: {{buyerName2}}
2024-11-08 18:48:33.344 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Name: {{buyerName2}}
2024-11-08 18:48:33.347 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>NRIC/Passport No.: {{nricPassport1}}
