2022-04-12 17:58:48.618 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:58:48.622 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:58:48.648 | INFO     | modules.Project:ComparisonPDF:1000 - ---------->page 1
2022-04-12 17:58:48.846 | INFO     | modules.Project:ComparisonPDF:1059 - ---------->page 2
2022-04-12 17:58:48.849 | INFO     | modules.Project:ComparisonPDF:1062 - ---------->page 3
2022-04-12 17:58:48.911 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 17:59:39.749 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:59:40.631 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:59:40.634 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:59:40.676 | INFO     | modules.Project:ComparisonPDF:1000 - ---------->page 1
2022-04-12 17:59:40.862 | INFO     | modules.Project:ComparisonPDF:1059 - ---------->page 2
2022-04-12 17:59:40.865 | INFO     | modules.Project:ComparisonPDF:1062 - ---------->page 3
2022-04-12 17:59:40.933 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 18:00:18.016 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 18:00:18.895 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 18:00:18.900 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 18:00:18.918 | INFO     | modules.Project:ComparisonPDF:1000 - ---------->page 1
2022-04-12 18:00:19.092 | INFO     | modules.Project:ComparisonPDF:1059 - ---------->page 2
2022-04-12 18:00:19.095 | INFO     | modules.Project:ComparisonPDF:1062 - ---------->page 3
2022-04-12 18:00:19.159 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 18:02:03.586 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 18:02:04.507 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 18:02:04.511 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 18:02:04.532 | INFO     | modules.Project:ComparisonPDF:1000 - ---------->page 1
2022-04-12 18:02:04.783 | INFO     | modules.Project:ComparisonPDF:1059 - ---------->page 2
2022-04-12 18:02:04.787 | INFO     | modules.Project:ComparisonPDF:1062 - ---------->page 3
2022-04-12 18:02:04.845 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 18:03:12.436 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 18:03:13.312 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 18:03:13.317 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 18:03:13.341 | INFO     | modules.Project:ComparisonPDF:1000 - ---------->page 1
2022-04-12 18:03:13.524 | INFO     | modules.Project:ComparisonPDF:1060 - ---------->page 2
2022-04-12 18:03:13.527 | INFO     | modules.Project:ComparisonPDF:1063 - ---------->page 3
2022-04-12 18:03:13.581 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 18:08:13.916 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
